price,floor_area,latitude,longitude,bedroom,bathroom,type_house,place,predicted_price,residual,res_percentage
395000.0,72,53.359431,-6.273474,3,1,house,Dublin 7,377065.99877851974,-17934.001221480255,-0.045402534737924695
275000.0,83,53.265982,-7.507525,3,1,house,Tullamore,200522.80757556425,-74477.19242443575,-0.27082615427067547
525000.0,232,53.588044,-6.920052,4,4,house,Trim,519499.9839214105,-5500.016078589484,-0.010476221102075208
400000.0,113,51.883612,-8.614786,4,3,house,Ballincollig,349426.29339686467,-50573.70660313533,-0.12643426650783832
295000.0,44,53.451746,-6.156239,1,1,apartment,Malahide,283270.832013646,-11729.167986353976,-0.03975989147916602
525000.0,186,52.66242,-7.248676,4,3,house,Kilkenny,441704.8207590357,-83295.1792409643,-0.15865748426850343
550000.0,74,53.345585,-6.238383,2,2,apartment,Dublin 2,477361.3416165187,-72638.65838348132,-0.13207028796996603
575000.0,185,52.047205,-9.505843,4,3,house,Kenmare,400848.0169631969,-174151.98303680308,-0.30287301397704885
350000.0,83,51.890533,-8.453776,3,1,house,Cork city southside,280827.5417964059,-69172.45820359408,-0.19763559486741167
450000.0,70,53.341301,-6.299988,2,2,house,,331883.0621476388,-118116.93785236118,-0.2624820841163582
390000.0,232,53.04808,-7.450931,5,3,house,,409097.37595526467,19097.375955264666,0.04896763065452479
275000.0,106,51.872336,-8.343062,3,3,house,Cork city southside,313922.8166543639,38922.81665436388,0.14153751510677776
295000.0,80,51.900012,-8.488609,3,1,house,Cork city northside,243265.61205280456,-51734.38794719544,-0.1753708066006625
1450000.0,310,51.888312,-8.517048,5,3,house,Cork city southside,958569.1749423686,-491430.82505763136,-0.33891781038457336
430000.0,97,53.195893,-6.123381,3,1,house,Bray,407788.9635908867,-22211.036409113323,-0.05165357304444959
1650000.0,468,52.96286,-6.160905,5,6,house,Wicklow,1294560.8871105597,-355439.11288944026,-0.21541764417541834
465000.0,118,53.244996,-6.18367,2,2,apartment,Dublin 18,575143.8624478108,110143.86244781082,0.23686852139314155
1450000.0,250,53.293473,-6.135329,5,5,house,Dun Laoghaire,1533713.3985814303,83713.39858143032,0.057733378332020906
285000.0,62,53.357912,-6.261216,2,1,apartment,Dublin 1,325880.0452741706,40880.04527417058,0.14343875534796696
680000.0,286,54.096538,-7.526358,4,3,house,Belturbet,393388.6365746058,-286611.3634253942,-0.42148729915499145
449500.0,125,52.933237,-9.399481,3,2,house,,252826.13134428635,-196673.86865571365,-0.43753919611949643
895000.0,158,53.314667,-6.252408,4,3,house,Dublin 6,998748.1502098015,103748.1502098015,0.11591972090480615
279000.0,105,51.748725,-8.717015,3,2,house,Bandon,275463.76272959565,-3536.237270404352,-0.012674685557004845
430000.0,84,53.267135,-6.170342,3,1,house,Dublin 18,479715.63552282786,49715.635522827855,0.11561775702983222
445000.0,145,52.245819,-6.968009,3,3,house,Waterford,304341.5590874242,-140658.4409125758,-0.31608638407320405
290000.0,96,53.280423,-8.982584,3,3,house,Galway,285388.6603407423,-4611.3396592576755,-0.01590117123881957
395000.0,163,53.280894,-7.503747,4,2,house,Tullamore,370085.02258485445,-24914.97741514555,-0.0630758921902419
